dataset,model,objective,seed,sequence_length,downsample,agg_feats,folds,epochs,batch_size,normalize,use_cat,device,run_tag,tune_cutoff_steps,tune_smooth_values,tune_alternating,wandb_enabled,wandb_project,wandb_entity,wandb_group,wandb_name,wandb_mode,wandb_tags,wandb_log_artifacts,postprocess_objectives,prediction_dir,row_type,stage,postprocess_objective,optimized_metric,metric,tolerance,score,params,source_path,run_id,run_dir,density_prior,best_metric,lr,weight_decay,clip_grad_norm,score_after_train,eval_every,gaussian_sigma,tolerances,target_tolerances,runtime_sec
sleep,gru,custom,0,120960,10,stat,4,20,32,True,True,cuda,objective_e20_bs32_eval5,3,"['none', 10]",True,True,event-detection-pdf,,P2-gru-objective-sweep-score,,offline,"paper-density-likelihood-rewrite,sleep,P2,score",True,['custom'],experiments/sleep/gru/custom/seed_0_objective_e20_bs32_eval5/predictions,summary,default,custom,,mAP,,0.5417169307271179,{},experiments/sleep/gru/custom/seed_0_objective_e20_bs32_eval5/results/scores.csv,seed_0_objective_e20_bs32_eval5,experiments/sleep/gru/custom/seed_0_objective_e20_bs32_eval5,,,,,,,,,,,
sleep,gru,custom,0,120960,10,stat,4,20,32,True,True,cuda,objective_e20_bs32_eval5,3,"['none', 10]",True,True,event-detection-pdf,,P2-gru-objective-sweep-score,,offline,"paper-density-likelihood-rewrite,sleep,P2,score",True,['custom'],experiments/sleep/gru/custom/seed_0_objective_e20_bs32_eval5/predictions,summary,default,custom,,mf1,,0.6516258781823758,{},experiments/sleep/gru/custom/seed_0_objective_e20_bs32_eval5/results/scores.csv,seed_0_objective_e20_bs32_eval5,experiments/sleep/gru/custom/seed_0_objective_e20_bs32_eval5,,,,,,,,,,,
sleep,gru,custom,0,120960,10,stat,4,20,32,True,True,cuda,objective_e20_bs32_eval5,3,"['none', 10]",True,True,event-detection-pdf,,P2-gru-objective-sweep-score,,offline,"paper-density-likelihood-rewrite,sleep,P2,score",True,['custom'],experiments/sleep/gru/custom/seed_0_objective_e20_bs32_eval5/predictions,summary,tuned,custom,mAP,mAP,,0.545348128498409,"{""alternating"": 0, ""cutoff"": 0.0, ""smooth"": 10}",experiments/sleep/gru/custom/seed_0_objective_e20_bs32_eval5/results/scores.csv,seed_0_objective_e20_bs32_eval5,experiments/sleep/gru/custom/seed_0_objective_e20_bs32_eval5,,,,,,,,,,,
sleep,gru,custom,0,120960,10,stat,4,20,32,True,True,cuda,objective_e20_bs32_eval5,3,"['none', 10]",True,True,event-detection-pdf,,P2-gru-objective-sweep-score,,offline,"paper-density-likelihood-rewrite,sleep,P2,score",True,['custom'],experiments/sleep/gru/custom/seed_0_objective_e20_bs32_eval5/predictions,summary,tuned,custom,mAP,mf1,,0.6528981551983104,"{""alternating"": 0, ""cutoff"": 0.0, ""smooth"": 10}",experiments/sleep/gru/custom/seed_0_objective_e20_bs32_eval5/results/scores.csv,seed_0_objective_e20_bs32_eval5,experiments/sleep/gru/custom/seed_0_objective_e20_bs32_eval5,,,,,,,,,,,
sleep,gru,custom,0,120960,10,stat,4,20,32,True,True,cuda,objective_e20_bs32_eval5,3,"['none', 10]",True,True,event-detection-pdf,,P2-gru-objective-sweep-score,,offline,"paper-density-likelihood-rewrite,sleep,P2,score",True,['custom'],experiments/sleep/gru/custom/seed_0_objective_e20_bs32_eval5/predictions,tolerance,tuned,custom,mAP,mAP,12.0,0.0216744842697953,"{""alternating"": 0, ""cutoff"": 0.0, ""smooth"": 10}",experiments/sleep/gru/custom/seed_0_objective_e20_bs32_eval5/results/scores.csv,seed_0_objective_e20_bs32_eval5,experiments/sleep/gru/custom/seed_0_objective_e20_bs32_eval5,,,,,,,,,,,
sleep,gru,custom,0,120960,10,stat,4,20,32,True,True,cuda,objective_e20_bs32_eval5,3,"['none', 10]",True,True,event-detection-pdf,,P2-gru-objective-sweep-score,,offline,"paper-density-likelihood-rewrite,sleep,P2,score",True,['custom'],experiments/sleep/gru/custom/seed_0_objective_e20_bs32_eval5/predictions,tolerance,tuned,custom,mAP,mAP,36.0,0.2150702873727711,"{""alternating"": 0, ""cutoff"": 0.0, ""smooth"": 10}",experiments/sleep/gru/custom/seed_0_objective_e20_bs32_eval5/results/scores.csv,seed_0_objective_e20_bs32_eval5,experiments/sleep/gru/custom/seed_0_objective_e20_bs32_eval5,,,,,,,,,,,
sleep,gru,custom,0,120960,10,stat,4,20,32,True,True,cuda,objective_e20_bs32_eval5,3,"['none', 10]",True,True,event-detection-pdf,,P2-gru-objective-sweep-score,,offline,"paper-density-likelihood-rewrite,sleep,P2,score",True,['custom'],experiments/sleep/gru/custom/seed_0_objective_e20_bs32_eval5/predictions,tolerance,tuned,custom,mAP,mAP,60.0,0.4109543311177709,"{""alternating"": 0, ""cutoff"": 0.0, ""smooth"": 10}",experiments/sleep/gru/custom/seed_0_objective_e20_bs32_eval5/results/scores.csv,seed_0_objective_e20_bs32_eval5,experiments/sleep/gru/custom/seed_0_objective_e20_bs32_eval5,,,,,,,,,,,
sleep,gru,custom,0,120960,10,stat,4,20,32,True,True,cuda,objective_e20_bs32_eval5,3,"['none', 10]",True,True,event-detection-pdf,,P2-gru-objective-sweep-score,,offline,"paper-density-likelihood-rewrite,sleep,P2,score",True,['custom'],experiments/sleep/gru/custom/seed_0_objective_e20_bs32_eval5/predictions,tolerance,tuned,custom,mAP,mAP,90.0,0.5290562861077697,"{""alternating"": 0, ""cutoff"": 0.0, ""smooth"": 10}",experiments/sleep/gru/custom/seed_0_objective_e20_bs32_eval5/results/scores.csv,seed_0_objective_e20_bs32_eval5,experiments/sleep/gru/custom/seed_0_objective_e20_bs32_eval5,,,,,,,,,,,
sleep,gru,custom,0,120960,10,stat,4,20,32,True,True,cuda,objective_e20_bs32_eval5,3,"['none', 10]",True,True,event-detection-pdf,,P2-gru-objective-sweep-score,,offline,"paper-density-likelihood-rewrite,sleep,P2,score",True,['custom'],experiments/sleep/gru/custom/seed_0_objective_e20_bs32_eval5/predictions,tolerance,tuned,custom,mAP,mAP,120.0,0.6054375858545631,"{""alternating"": 0, ""cutoff"": 0.0, ""smooth"": 10}",experiments/sleep/gru/custom/seed_0_objective_e20_bs32_eval5/results/scores.csv,seed_0_objective_e20_bs32_eval5,experiments/sleep/gru/custom/seed_0_objective_e20_bs32_eval5,,,,,,,,,,,
sleep,gru,custom,0,120960,10,stat,4,20,32,True,True,cuda,objective_e20_bs32_eval5,3,"['none', 10]",True,True,event-detection-pdf,,P2-gru-objective-sweep-score,,offline,"paper-density-likelihood-rewrite,sleep,P2,score",True,['custom'],experiments/sleep/gru/custom/seed_0_objective_e20_bs32_eval5/predictions,tolerance,tuned,custom,mAP,mAP,150.0,0.6622535937770071,"{""alternating"": 0, ""cutoff"": 0.0, ""smooth"": 10}",experiments/sleep/gru/custom/seed_0_objective_e20_bs32_eval5/results/scores.csv,seed_0_objective_e20_bs32_eval5,experiments/sleep/gru/custom/seed_0_objective_e20_bs32_eval5,,,,,,,,,,,
